clust_HDDS,clust_HDDS_predict_ipc
4.6875,5.2399354
5.2352943,5.2399354
5.7199998,5.2399354
5.0952382,5.2399354
5.3125,5.2399354
5.4210525,5.2399354
5.2608695,5.2399354
5.6500001,5.2399354
5.318182,5.2399354
5.125,5.0693069
4.9259257,5.2399354
4.0952382,5.2399354
4.590909,5.0693069
5.1904764,5.2399354
5.3888888,5.0693069
5.7142859,5.0693069
5.181818,5.2399354
4.8499999,5.0693069
4.6500001,5.2399354
5.6500001,5.0693069
5.7272725,5.0693069
5.2631578,5.0693069
6.1666665,5.0693069
5.3684211,5.0693069
5.8125,5.0693069
6.1578946,4.5
6.5,5.0693069
5.6842103,5.0693069
5.0588236,5.2399354
4.9411764,5.2399354
4.5625,5.2399354
5.1111112,5.2399354
6.0555553,5.2399354
5.2777777,5.2399354
5.8095236,5.2399354
5.3333335,5.2399354
5.3125,5.2399354
5,5.2399354
5.6875,5.2399354
5.4705882,5.2399354
6.4375,5.2399354
6.0999999,5.2399354
5.6363635,5.2399354
5.6500001,5.2399354
5.826087,5.2399354
5.5652175,5.2399354
5.2173915,5.2399354
5.4444447,5.2399354
4.7777777,5.2399354
5.3888888,5.2399354
4.7777777,5.2399354
4.5999999,5.2399354
5.9130435,5.2399354
5.1666665,5.2399354
5.1666665,5.2399354
4.7333331,5.2399354
4.25,5.2399354
4.4000001,5.2399354
4.8499999,5.2399354
6.3157897,5.2399354
6.2142859,5.2399354
6.818182,5.2399354
6.409091,5.2399354
6.4210525,5.2399354
5.695652,5.2399354
6.8000002,5.2399354
5.7083335,5.2399354
6.25,5.2399354
5.8125,5.2399354
4.8421054,5.2399354
4.9444447,5.2399354
4.8235292,5.2399354
5.2631578,5.2399354
5.2380953,5.2399354
4.7058825,5.2399354
6.4499998,5.2399354
6.3157897,5.2399354
5.7894735,5.2399354
5.4210525,5.2399354
5.5714288,5.2399354
6,5.2399354
5.4285712,5.2399354
6.1904764,5.2399354
5.4375,5.2399354
5.4499998,5.2399354
5.25,5.2399354
4.7777777,5.2399354
5.8888888,5.2399354
6.352941,5.2399354
6.2631578,5.2399354
6.2727275,5.2399354
6.6315789,5.2399354
5.96,5.2399354
5.8499999,5.2399354
6.125,5.2399354
5.625,5.2399354
6.0454545,5.2399354
5.2941175,5.2399354
6.0526314,5.2399354
5.681818,5.2399354
5.352941,5.2399354
5.0625,5.2399354
5.1764708,5.2399354
5.8235292,5.2399354
5.6666665,5.2399354
5.25,5.2399354
5.4736843,5.2399354
6.8571429,5.2399354
5.9130435,5.2399354
5.5500002,5.2399354
5.3636365,5.2399354
5.4347825,5.2399354
5.2857141,5.2399354
6.1599998,5.2399354
6.0555553,5.2399354
5.9000001,5.2399354
5.3000002,5.2399354
4.3684211,5.2399354
4.8000002,5.2399354
4.9523811,5.2399354
4.8571429,5.2399354
5.7391305,5.2399354
4.9629631,5.2399354
4.8823528,5.2399354
5,5.2399354
6.5,5.2399354
5.8499999,5.2399354
5.5,5.2399354
5.3684211,5.2399354
5.1999998,5.2399354
5.7142859,5.2399354
4.9523811,5.2399354
5.5714288,5.2399354
5.4117646,5.2399354
5.090909,5.2399354
5.5714288,5.2399354
6.3125,5.2399354
5.8888888,5.2399354
6.1052632,5.2399354
5.5625,5.2399354
5.5500002,5.2399354
5.304348,5.2399354
5.7368422,5.2399354
5.4761906,5.2399354
5.4736843,5.2399354
5.5,5.2399354
6.1111112,5.2399354
6.3846154,5.2399354
5.9130435,5.2399354
6,5.2399354
6.2105265,5.2399354
6.5714288,5.2399354
6.6666665,5.2399354
5.7272725,5.2399354
4.9473686,5.2399354
6.173913,5.2399354
5.5625,5.2399354
5.5263157,5.2399354
5.2105265,5.2399354
6.090909,5.2399354
4.5,5.2399354
5.8095236,5.2399354
6.0555553,5.2399354
6.0500002,5.2399354
6.1428571,5.2399354
5.9411764,5.2399354
4.1578946,5.2399354
5.3157897,5.2399354
5.3000002,5.2399354
5.0555553,5.2399354
5.2105265,5.2399354
5.6500001,5.2399354
5.2941175,5.2399354
4.625,5.2399354
4.8636365,5.2399354
4.3333335,5.2399354
5.652174,5.2399354
5.4705882,5.2399354
6.6296296,5.2399354
6.0999999,5.2399354
5.647059,5.2399354
5.7272725,5.2399354
4.875,5.2399354
5.5714288,5.2399354
5.2272725,5.2399354
5.4000001,5.2399354
5.625,5.2399354
5.5714288,5.2399354
5.5263157,5.2399354
5.8666668,5.2399354
5.3333335,5.2399354
5.125,5.2399354
5.3888888,5.2399354
6.2631578,5.2399354
6.3333335,5.2399354
6.409091,5.2399354
6.5999999,5.2399354
6.7894735,5.2399354
